iter	RMSE
0	117.1301877
1	116.5673048
2	116.1192895
3	115.6789456
4	115.3222028
5	115.0304015
6	114.7334836
7	114.4823132
8	114.2626885
9	114.1008334
10	113.9237055
11	113.7444172
12	113.5933454
13	113.4097834
14	113.2840794
15	113.2056398
16	113.1099799
17	112.9679054
18	112.8642284
19	112.7575549
20	112.6529219
21	112.5806206
22	112.5387623
23	112.5106127
24	112.4682383
25	112.4241028
26	112.3526503
27	112.2808825
28	112.2000649
29	112.1177598
30	112.0676775
31	112.0083147
32	111.9616298
33	111.8888204
34	111.8159226
35	111.7673456
36	111.710627
37	111.6417558
38	111.5560101
39	111.5052248
40	111.4650583
41	111.4102534
42	111.3220921
43	111.3046952
44	111.292469
45	111.2637014
46	111.206577
47	111.1869559
48	111.1423209
49	111.0838393
50	111.0295212
51	111.0088943
52	110.9521348
53	110.9164316
54	110.8738817
55	110.8283711
56	110.768731
57	110.7363981
58	110.6855031
59	110.6648263
60	110.613422
61	110.5417639
62	110.5215227
63	110.5123263
64	110.4592235
65	110.4253345
66	110.4060323
67	110.3825772
68	110.3112795
69	110.2885035
70	110.2038713
71	110.1996744
72	110.178606
73	110.1716765
74	110.1644085
75	110.0936368
76	110.0393353
77	109.9861693
78	109.964183
79	109.9553766
80	109.8647709
81	109.8296897
82	109.8066189
83	109.7697892
84	109.7552354
85	109.7169324
86	109.6843675
87	109.6338869
88	109.5858102
89	109.5821073
90	109.5376916
91	109.4880837
92	109.4589673
93	109.4386211
94	109.397746
95	109.3922988
96	109.3552686
97	109.3256534
98	109.2880659
99	109.2413786
100	109.1983962
101	109.1883257
102	109.1606324
103	109.1441413
104	109.1439152
105	109.075979
106	109.0513127
107	109.0226316
108	109.0010004
109	109.0007145
110	108.9724039
111	108.9390548
112	108.9065308
113	108.8564327
114	108.8255698
115	108.8033452
116	108.7730728
117	108.7609708
118	108.7418687
119	108.7005154
120	108.666098
121	108.6022355
122	108.5770712
123	108.5273265
124	108.5091889
125	108.4878948
126	108.4655764
127	108.4191892
128	108.3984502
129	108.3715884
130	108.3645249
131	108.3144778
132	108.2827801
133	108.2709475
134	108.2539494
135	108.2152027
136	108.2143957
137	108.1217989
138	108.1007188
139	108.0935839
140	108.091377
141	108.0297751
142	108.0166865
143	107.9865708
144	107.9477382
145	107.9430985
146	107.9423745
147	107.9020633
148	107.8816418
149	107.8805823
150	107.8799385
151	107.8662672
152	107.8573352
153	107.8358706
154	107.8132154
155	107.812443
156	107.8027118
157	107.802248
158	107.7918358
159	107.7899762
160	107.7645482
161	107.7205197
162	107.7014593
163	107.6970054
164	107.6888756
165	107.6778606
166	107.6697629
167	107.6137476
168	107.5817932
169	107.5794662
170	107.5537354
171	107.5465153
172	107.5409874
173	107.5234561
174	107.5105787
175	107.4696443
176	107.4485499
177	107.4090634
178	107.3977416
179	107.3921629
180	107.3877813
181	107.3792657
182	107.3675202
183	107.3525181
184	107.3440336
185	107.3380351
186	107.3215727
187	107.2966861
188	107.279047
189	107.2676921
190	107.2398141
191	107.2272229
192	107.2264404
193	107.2082672
194	107.2039615
195	107.2022079
196	107.2006386
197	107.095923
198	107.0835352
199	107.0354827
200	107.0283065
201	107.0144596
202	106.9994347
203	106.9354303
204	106.9271304
205	106.9110021
206	106.900206
207	106.8934784
208	106.8746237
209	106.8633311
210	106.8392736
211	106.8387083
212	106.8274479
213	106.7849128
214	106.7757857
215	106.7692217
216	106.7606456
217	106.7518491
218	106.7515121
219	106.7498926
220	106.748428
221	106.7422752
222	106.6984338
223	106.6974421
224	106.6838715
225	106.6826348
226	106.6737239
227	106.6634743
228	106.6608847
229	106.6201054
230	106.6073578
231	106.5922486
232	106.5850206
233	106.5839634
234	106.5750926
235	106.57146
236	106.560032
237	106.5500378
238	106.5447713
239	106.541979
240	106.5398764
241	106.5389985
242	106.5185116
243	106.5080187
244	106.4997943
245	106.4940839
246	106.4918823
247	106.4428032
248	106.4167902
249	106.3990492
250	106.3957544
251	106.3726879
252	106.3620741
253	106.3596647
254	106.3496312
255	106.3385861
256	106.3378828
257	106.3263703
258	106.3168174
259	106.2919657
